jockey_name,quadrant_code,quadrant_label,ride_count,forward_axis_score,push_axis_score,comment
和田竜二,Q1,折り合いタイプ,15283,0.5028567818871928,-0.3291568937907621,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
松山弘平,Q1,折り合いタイプ,12709,0.22227687985905042,-0.4461770957793037,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
吉田隼人,Q1,折り合いタイプ,11727,0.005818626923171477,-0.02996065357515557,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
松岡正海,Q1,折り合いタイプ,10393,0.07900014020525148,-0.06998391304788465,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
丹内祐次,Q1,折り合いタイプ,10292,0.19861566500210204,-0.17223827873005473,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
宮下瞳,Q1,折り合いタイプ,136,2.2650962232877245,-0.7615299447606463,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
中舘英二,Q1,折り合いタイプ,4628,1.0256001566624602,-1.1501849773837038,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
小野楓馬,Q1,折り合いタイプ,106,1.4998877674050526,-0.4796238736183307,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
川島洋人,Q1,折り合いタイプ,170,1.7803918260287008,-0.13945641648277385,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
田中剛,Q1,折り合いタイプ,280,0.3307763287260412,-1.3491719653489906,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
幸英明,Q2,前め積極タイプ,16171,0.005387919771367322,0.260669603494117,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
岩田康誠,Q2,前め積極タイプ,13665,0.10575391794467638,0.49868046832146923,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
三浦皇成,Q2,前め積極タイプ,11861,0.18490001604351003,0.1739492234595495,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
福永祐一,Q2,前め積極タイプ,11679,0.4382731621006976,0.39351432818316784,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
武豊,Q2,前め積極タイプ,11572,0.3292418054808245,0.5663387196548576,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
田中学,Q2,前め積極タイプ,1236,2.1651810830159093,1.8523645293907736,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
